1	2
2	3
3	4
2	5
3	5
4	5
5	6
5	7
5	8
2	9
5	10
5	11
8	11
5	12
7	12
8	12
11	12
2	13
3	13
4	13
5	13
2	14
11	15
5	16
8	16
11	16
12	16
5	17
8	17
11	17
12	17
15	17
16	17
4	18
5	18
6	18
7	18
8	18
11	18
12	18
13	18
16	18
17	18
15	19
5	20
11	21
21	22
21	23
8	24
16	25
11	26
21	26
22	26
10	27
15	28
6	29
18	30
18	31
28	32
27	33
10	34
5	35
8	35
11	35
12	35
16	35
17	35
18	35
31	35
26	36
34	37
28	38
15	39
33	39
5	40
8	40
11	40
12	40
15	40
16	40
17	40
18	40
28	40
35	40
5	41
8	41
11	41
12	41
16	41
17	41
18	41
35	41
40	41
28	42
34	43
34	44
43	44
21	45
26	45
5	46
8	46
11	46
12	46
16	46
17	46
18	46
35	46
40	46
41	46
5	47
8	47
11	47
12	47
16	47
17	47
18	47
35	47
40	47
41	47
46	47
21	48
26	48
45	48
40	49
34	50
34	51
44	52
45	52
48	52
43	53
45	54
48	54
52	54
26	55
17	56
34	56
43	56
44	56
53	56
49	57
34	58
43	58
44	58
56	58
34	59
43	59
44	59
53	59
56	59
58	59
56	60
59	60
43	61
57	61
33	62
43	62
56	62
33	63
34	64
43	64
44	64
56	64
58	64
59	64
33	65
40	65
45	66
48	66
50	66
52	66
54	66
63	67
49	68
57	68
49	69
33	70
45	71
48	71
52	71
54	71
66	71
59	72
25	73
5	74
8	74
11	74
12	74
16	74
17	74
18	74
33	74
35	74
40	74
41	74
46	74
47	74
62	75
66	76
33	77
63	77
70	77
74	77
34	78
43	78
44	78
56	78
58	78
59	78
62	78
64	78
34	79
43	79
44	79
53	79
56	79
58	79
59	79
60	79
62	79
64	79
78	79
40	80
71	81
34	82
43	82
44	82
56	82
58	82
59	82
62	82
64	82
78	82
79	82
78	83
45	84
41	85
26	86
49	87
32	88
11	89
15	89
17	89
40	89
45	90
48	90
52	90
54	90
66	90
71	90
24	91
49	92
47	93
49	94
80	94
34	95
55	96
78	97
21	98
26	98
5	99
8	99
11	99
12	99
16	99
17	99
18	99
35	99
40	99
41	99
46	99
47	99
74	99
21	100
26	100
